fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
0,densenet121,pretrained,gs20,blind,test,raw,1337,slice_level,1.0,1.0,0.9995429713062798,0.0001756916821254792,0.0002679547252079022,0.8809451225614551,0.4482831964973478,0.9949192133184334,0.98618811391574,305597,899400
0,densenet121,pretrained,gs20,blind,test,raw,1337,subject_level,1.0,1.0,0.9999226561614445,0.0018684046609061106,0.016156586099948203,1.0,1.0,0.9999226561614445,0.9910602880314023,70,4830
1,densenet121,pretrained,gs20,adaptive,train,gs20,1337,slice_level,0.6150289017341041,0.8668868703550785,0.845060100799548,0.006724621095901477,0.0011759283869549582,0.8725270933514696,0.17846755214266302,0.781397923722654,0.6789759037872665,172939,1211000
1,densenet121,pretrained,gs20,adaptive,train,gs20,1337,subject_level,1.0,1.0,0.9894881154077625,0.01670062919547655,0.01752718786258099,0.9999661238415564,1.0,0.9894881154077625,0.8561345925195283,221,48620
1,densenet121,pretrained,gs20,adaptive,test,gs20,1337,slice_level,0.8403798326927425,0.9687994573818675,0.8427416667958716,0.007239545790447845,0.0015354112723769409,0.8396456935847003,0.20883842104558178,0.7646704461559122,0.6890182680225793,298628,884600
1,densenet121,pretrained,gs20,adaptive,test,gs20,1337,subject_level,1.0,1.0,0.9950501254626682,0.025697270461491176,0.046224501888666836,1.0,1.0,0.9950501254626682,0.8956735629842888,70,4830
1,densenet121,pretrained,gs20,blind,train,raw,1337,slice_level,0.9971924029727498,0.9988439306358381,0.9991917582704054,0.0003963340027680779,0.00020878369674147326,0.9172204800388585,0.5183099243085713,0.9944583084485,0.9838036034214999,172939,1211000
1,densenet121,pretrained,gs20,blind,train,raw,1337,subject_level,1.0,1.0,0.999799949281356,0.0022107772697690384,0.005266422429016678,0.9999971149425501,1.0,0.999799949281356,0.9889924075465201,221,48620
1,densenet121,pretrained,gs20,blind,test,raw,1337,slice_level,1.0,1.0,0.9993493830270959,0.0002273685409827063,0.00028741688307612863,0.8942501989072575,0.4798712779779525,0.9930594772539957,0.9823096453206264,298628,884600
1,densenet121,pretrained,gs20,blind,test,raw,1337,subject_level,1.0,1.0,0.9998990893363953,0.002983654396874564,0.01671942656061479,1.0,1.0,0.9998990893363953,0.9885907649500276,70,4830
2,densenet121,pretrained,gs20,adaptive,train,gs20,1337,slice_level,0.6379851362510323,0.8820809248554913,0.8197730503035024,0.007824633871593522,0.0009632746405962202,0.8513957639161136,0.25300271212708253,0.7525672979817337,0.6903224695624398,172927,1211000
2,densenet121,pretrained,gs20,adaptive,train,gs20,1337,subject_level,1.0,1.0,0.9875282873441508,0.018897662023166277,0.013594532435810243,0.9999798012516613,1.0,0.9875282873441508,0.9033675104905698,222,49062
