fold,arch,init,train_condition,attacker_type,eval_split,eval_condition,seed,k_gallery,k_probe,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff,n_pos_pairs,n_neg_pairs
0,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,subject_level,0.19457013574660634,0.42081447963800905,0.9857151653971608,0.00047521084142486435,0.005349690473861824,0.8899875942529656,0.19004524886877827,0.9837296227524184,0.9733732582720058,221,48620
0,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,slice_level,0.22857142857142856,0.6,0.9802895171301705,0.0008210395063672747,0.005642105738765427,0.8154857142857144,0.1619047619047619,0.9759746974422818,0.9678974326934133,210,14000
0,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,subject_level,0.42857142857142855,0.7285714285714285,0.9854056494576591,0.0005481294223240444,0.01626124383349504,0.8778955930198166,0.22857142857142856,0.9841136634349823,0.9759375068588533,70,4830
0,resnet18,scratch,gs30,blind,train,raw,1337,3,1,slice_level,0.6877828054298643,0.7963800904977375,0.9970552419645214,0.0009716886740464431,0.0016282337466971232,0.8642902991339243,0.43288084464555054,0.9951136969872729,0.9916578139425403,663,44200
0,resnet18,scratch,gs30,blind,train,raw,1337,3,1,subject_level,0.5882352941176471,0.7375565610859729,0.9972121782971723,0.0006250248235814712,0.004783966340444881,0.9284989232221066,0.6380090497737556,0.9967418164689077,0.9932755602798752,221,48620
0,resnet18,scratch,gs30,blind,test,raw,1337,3,1,slice_level,0.7714285714285715,0.8857142857142857,0.9970395726816995,0.0010468099798474993,0.005135038747851338,0.8653828231292517,0.45714285714285713,0.9951860759939466,0.9916887611576489,210,14000
0,resnet18,scratch,gs30,blind,test,raw,1337,3,1,subject_level,0.7142857142857143,0.8142857142857143,0.9971298745700291,0.0009175947734287806,0.015082275321973222,0.9238864241348714,0.6285714285714286,0.9967675055776324,0.9932668182050219,70,4830
1,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,slice_level,0.3755656108597285,0.6380090497737556,0.9826078409522907,0.0008562714266021867,0.002420182980921507,0.8792546733277368,0.16138763197586728,0.9773582210188357,0.9436472605121621,663,44200
1,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,subject_level,0.3574660633484163,0.6289592760180995,0.9868917583879842,0.0008478175461022562,0.006997614728109869,0.9134003938568751,0.22624434389140272,0.9848174228927129,0.950917478579398,221,48620
1,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,slice_level,0.5142857142857142,0.7285714285714285,0.981784212589264,0.0011502487318856376,0.006458275213039347,0.792221768707483,0.23809523809523808,0.9735246524924324,0.9585962843469211,210,14000
1,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,subject_level,0.34285714285714286,0.5428571428571428,0.9858890320573535,0.0012986983571733747,0.018334782469485486,0.8511150547175392,0.3,0.982199272939137,0.967174939598356,70,4830
1,resnet18,scratch,gs30,blind,train,raw,1337,3,1,slice_level,0.7194570135746606,0.832579185520362,0.9974513520482439,0.0008480400521291327,0.001624335646545051,0.8689929396749998,0.46907993966817496,0.9957183614755288,0.9921896809042848,663,44200
1,resnet18,scratch,gs30,blind,train,raw,1337,3,1,subject_level,0.6289592760180995,0.7737556561085973,0.9975346105670497,0.0005731526003703812,0.004782650274186652,0.9286594161760517,0.6787330316742082,0.997124597227951,0.9936158057129074,221,48620
1,resnet18,scratch,gs30,blind,test,raw,1337,3,1,slice_level,0.7571428571428571,0.9,0.997315228836877,0.0008060472352164132,0.005098948907107115,0.8565149659863946,0.46190476190476193,0.9955266120887938,0.9924561301597528,210,14000
1,resnet18,scratch,gs30,blind,test,raw,1337,3,1,subject_level,0.7142857142857143,0.8571428571428571,0.9974904605320521,0.0008350099836077009,0.015007650093840702,0.9201168293404318,0.6142857142857143,0.9970593333244324,0.9939839451332764,70,4830
2,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,slice_level,0.5,0.6621621621621622,0.99140250602284,0.0010485933707641052,0.0035121822949951967,0.8495318460352244,0.14864864864864866,0.9843322592633622,0.8095065243904656,666,44400
2,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,subject_level,0.38288288288288286,0.5720720720720721,0.9926546132779336,0.0009879692717715426,0.010138217903052768,0.879557618031386,0.17117117117117117,0.9894246459007263,0.8143871524131457,222,49062
2,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,slice_level,0.5217391304347826,0.6956521739130435,0.988529818645422,0.0014545537423396456,0.011682285292856935,0.7864265210389975,0.17391304347826086,0.9628246311404279,0.8777961678025515,207,13800
2,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,subject_level,0.3188405797101449,0.5072463768115942,0.9900503599125406,0.0016273666119229965,0.033254296910287674,0.8340993612315751,0.2753623188405797,0.9767471214999324,0.8909135434938513,69,4692
2,resnet18,scratch,gs30,blind,train,raw,1337,3,1,slice_level,0.5585585585585585,0.6306306306306306,0.9997978379597535,6.380677223205566e-05,0.001526247814868216,0.7316587026215404,0.3033033033033033,0.9992056618760656,0.9986384174227715,666,44400
2,resnet18,scratch,gs30,blind,train,raw,1337,3,1,subject_level,0.36036036036036034,0.45495495495495497,0.9997780084073007,4.867175677875141e-05,0.004560598667274724,0.7848763065376738,0.3783783783783784,0.9994670112390776,0.998907756363931,222,49062
2,resnet18,scratch,gs30,blind,test,raw,1337,3,1,slice_level,0.5652173913043478,0.6521739130434783,0.9997662763664688,5.240803179533585e-05,0.0049190527786487255,0.774529860673528,0.32367149758454106,0.9992623046976357,0.9984819157356801,207,13800
2,resnet18,scratch,gs30,blind,test,raw,1337,3,1,subject_level,0.391304347826087,0.6086956521739131,0.9997573615848154,5.863887676294299e-05,0.014707123482788818,0.8329611302618085,0.37681159420289856,0.9994943642961807,0.9987144546054513,69,4692
3,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,slice_level,0.3783783783783784,0.5315315315315315,0.9912609133097503,0.0008109316632554337,0.0035971603230447384,0.803856051997944,0.1066066066066066,0.9788932461101372,0.820064915472994,666,44400
3,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,subject_level,0.3063063063063063,0.44144144144144143,0.9927133069382058,0.0008772565974845542,0.010302248358441232,0.8281314211361905,0.14414414414414414,0.9856238359803552,0.8267036007497738,222,49062
3,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,slice_level,0.391304347826087,0.4782608695652174,0.9891757870065994,0.0013331148935400922,0.011297621116366076,0.736810193936848,0.1642512077294686,0.9529077740395127,0.8886143493371598,207,13800
3,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,subject_level,0.18840579710144928,0.34782608695652173,0.9908671534579733,0.0013063878252886343,0.03240834565266319,0.7684526236455516,0.21739130434782608,0.9697818773380225,0.9048628142803831,69,4692
3,resnet18,scratch,gs30,blind,train,raw,1337,3,1,slice_level,0.6261261261261262,0.7027027027027027,0.9987820215053387,0.00038190253146059877,0.0015982001776563691,0.8140049678056435,0.34384384384384387,0.9971556221400654,0.9943496386827649,666,44400
3,resnet18,scratch,gs30,blind,train,raw,1337,3,1,subject_level,0.42342342342342343,0.5720720720720721,0.9987533965089299,0.0002680922950710262,0.004726103425176965,0.8839255514533735,0.43243243243243246,0.9981577442036019,0.9953536739796346,222,49062
3,resnet18,scratch,gs30,blind,test,raw,1337,3,1,slice_level,0.782608695652174,0.8260869565217391,0.9988038617631664,0.00042852111484693444,0.005107849971323773,0.8077110901071203,0.42028985507246375,0.9973067923444481,0.994843110671078,207,13800
3,resnet18,scratch,gs30,blind,test,raw,1337,3,1,subject_level,0.5507246376811594,0.6956521739130435,0.9987230914226477,0.00040646566860917687,0.015088177798990753,0.8744239346652334,0.5362318840579711,0.9983254161433898,0.9958612493795913,69,4692
4,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,slice_level,0.3333333333333333,0.5135135135135135,0.9919624027905164,0.0005037695974917025,0.0034967853576532222,0.7996741166842518,0.08258258258258258,0.9831585383809006,0.8046802581873563,666,44400
4,resnet18,scratch,gs30,adaptive,train,gs30,1337,3,1,subject_level,0.1981981981981982,0.38288288288288286,0.9935390755936906,0.0005660231585975165,0.010055009932215284,0.8308965379712598,0.11711711711711711,0.9889666193777377,0.8103387993630756,222,49062
4,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,slice_level,0.2608695652173913,0.42028985507246375,0.9884218072545701,0.0009662914967191392,0.011122312720703043,0.7360055660575511,0.12077294685990338,0.9575276268277191,0.8942967937174051,207,13800
4,resnet18,scratch,gs30,adaptive,test,gs30,1337,3,1,subject_level,0.2028985507246377,0.5072463768115942,0.9902562490407971,0.001303674518198207,0.031770006470058273,0.7889793913784796,0.18840579710144928,0.971572762814121,0.907575634669414,69,4692
4,resnet18,scratch,gs30,blind,train,raw,1337,3,1,slice_level,0.6756756756756757,0.7702702702702703,0.9992785453796387,0.00022662357167080717,0.0015424198915695284,0.8282984504775046,0.3843843843843844,0.998548229982903,0.9973855599479096,666,44400
4,resnet18,scratch,gs30,blind,train,raw,1337,3,1,subject_level,0.5540540540540541,0.6801801801801802,0.9992770171380257,0.0001537166200242601,0.00459595268953021,0.8911927856681434,0.5540540540540541,0.9990253303502057,0.9978616963861662,222,49062
4,resnet18,scratch,gs30,blind,test,raw,1337,3,1,slice_level,0.7101449275362319,0.8695652173913043,0.9992104457772296,0.00029536347458328026,0.004981459428866704,0.8498141146817895,0.357487922705314,0.9985185527571158,0.9970303740319998,207,13800
4,resnet18,scratch,gs30,blind,test,raw,1337,3,1,subject_level,0.6231884057971014,0.8115942028985508,0.9992016277451446,0.0002149257107057433,0.014840697221781897,0.9187438995762136,0.5797101449275363,0.9990022078804348,0.9975138783632743,69,4692
0,resnet18,scratch,gs40,adaptive,train,gs40,1337,3,1,slice_level,0.12669683257918551,0.3438914027149321,0.9802558724157411,0.0005724713273717268,0.002004637714260473,0.8396766548596466,0.15535444947209653,0.9749597711081238,0.9586979282428236,663,44200
0,resnet18,scratch,gs40,adaptive,train,gs40,1337,3,1,subject_level,0.15384615384615385,0.3891402714932127,0.9854507586535286,0.000514687186452598,0.005783888140516314,0.8802112048186044,0.2171945701357466,0.9832356267385354,0.966854060699007,221,48620
0,resnet18,scratch,gs40,adaptive,test,gs40,1337,3,1,slice_level,0.17142857142857143,0.5142857142857142,0.9795559244496482,0.0006437718868255616,0.005708589870482683,0.7905853741496598,0.11428571428571428,0.9744025905927022,0.9662309474178723,210,14000
0,resnet18,scratch,gs40,adaptive,test,gs40,1337,3,1,subject_level,0.2714285714285714,0.6285714285714286,0.9849669260638101,0.0007883003779820034,0.01643254017191274,0.8588805087252293,0.18571428571428572,0.9829526007175445,0.9747207180436848,70,4830
0,resnet18,scratch,gs40,blind,train,raw,1337,3,1,slice_level,0.7104072398190046,0.832579185520362,0.9968096921346846,0.001004623881292559,0.0016630006563213414,0.8590974625144174,0.42232277526395173,0.9944964736295502,0.9899169569668187,663,44200
0,resnet18,scratch,gs40,blind,train,raw,1337,3,1,subject_level,0.5927601809954751,0.746606334841629,0.9969628919843095,0.0006321978784794181,0.004869430433385647,0.9238606349732248,0.6108597285067874,0.9963815641079553,0.9917593670291011,221,48620
0,resnet18,scratch,gs40,blind,test,raw,1337,3,1,slice_level,0.7285714285714285,0.9,0.996771034172603,0.0010862929480416434,0.00523998949543706,0.8459217687074831,0.41904761904761906,0.9944372514883677,0.9899446319213935,210,14000
0,resnet18,scratch,gs40,blind,test,raw,1337,3,1,subject_level,0.6285714285714286,0.8,0.9968453500952039,0.0008651248046330043,0.015336991886475257,0.8957675244010648,0.5428571428571428,0.9962620956557138,0.9917653177712521,70,4830
1,resnet18,scratch,gs40,adaptive,train,gs40,1337,3,1,slice_level,0.19457013574660634,0.38461538461538464,0.988714209778816,0.0005777896259704866,0.0035619224196224058,0.7767604574025921,0.09351432880844646,0.9712647240086378,0.865475632488323,663,44200
