arch,init,train_condition,attacker_type,eval_condition,eval_split,k_gallery,k_probe,n_subjects,level,rank1,rank5,top1_sim,margin,p_top1,auc,tar_at_far_1pct,mean_sim_same,mean_sim_diff
resnet18,pretrained,gs20,blind,raw,train,1,1,3843,subject_level,0.1053864168618267,0.17408274785323966,0.9585680075681926,0.003344427227136402,0.000695023311138121,0.7876209596422802,0.24538121259432735,0.9219917436456295,0.8851387867668535
resnet18,pretrained,gs10,adaptive,gs10,train,1,1,3843,slice_level,0.026801977621649754,0.0653135571168358,0.917835358279216,0.005100987632542019,0.0017496589215599812,0.7999438352485729,0.1579495186052563,0.8369132997063402,0.762643580537521
resnet18,pretrained,gs10,adaptive,gs10,train,1,1,3843,subject_level,0.026801977621649754,0.0653135571168358,0.9178354115403011,0.005100988795786452,0.001749659081475798,0.7997601870692437,0.15820973198022378,0.8369133484385269,0.7627029515725543
resnet18,pretrained,gs10,blind,raw,train,1,1,3843,slice_level,0.060109289617486336,0.10408534998698933,0.9752372203939073,0.0018103425620032139,0.0006419343763834916,0.6146619120340663,0.0809263596148842,0.9226160877978712,0.8976573161428371
resnet18,pretrained,gs10,blind,raw,train,1,1,3843,subject_level,0.060109289617486336,0.10408534998698933,0.9752372792695855,0.0018103442370751982,0.0006419344145373032,0.6144347266970731,0.0809263596148842,0.9226161412760953,0.8977349664018454
resnet18,pretrained,gs0,adaptive,gs0,train,1,1,3843,slice_level,0.09549830861306272,0.17512360135310956,0.903862494107742,0.006574896220704276,0.001675428746359274,0.8465938301126937,0.27712724434035907,0.840433451135488,0.7580760502635332
resnet18,pretrained,gs0,adaptive,gs0,train,1,1,3843,subject_level,0.09549830861306272,0.17512360135310956,0.9038625445305107,0.006574897352928859,0.0016754289090317378,0.8464776210742097,0.27660681759042416,0.840433498363212,0.758113297467349
resnet18,pretrained,gs0,blind,raw,train,1,1,3843,slice_level,0.13817330210772832,0.21831902159771013,0.9215786082186861,0.005802500582969719,0.0010883437150072926,0.824013811791451,0.26880041634139995,0.8742368514575656,0.8118692245831673
resnet18,pretrained,gs0,blind,raw,train,1,1,3843,subject_level,0.13817330210772832,0.21831902159771013,0.9215786606732551,0.005802499233606176,0.0010883437871496524,0.8238837250448569,0.26880041634139995,0.8742369007791295,0.8119658408369709
resnet18,scratch,raw,adaptive,raw,train,1,1,3843,slice_level,0.04345563361956804,0.10304449648711944,0.9758749496431175,0.004976216871354408,0.005102750853705165,0.8164294135841402,0.2196200884725475,0.8339600688834814,0.644769648026899
resnet18,scratch,raw,adaptive,raw,train,1,1,3843,subject_level,0.04345563361956804,0.10304449648711944,0.9758750083016567,0.004976218717035576,0.005102751547138195,0.816098669282478,0.21727816809784023,0.8339601186858532,0.6451044457208945
resnet18,scratch,gs50,adaptive,gs50,train,1,1,3843,slice_level,0.022118136872235232,0.06115014311735623,0.950846464861007,0.007227244846776783,0.004811765522441134,0.7937777527924186,0.15014311735623212,0.8068156449117916,0.674845179668355
resnet18,scratch,gs50,adaptive,gs50,train,1,1,3843,subject_level,0.022118136872235232,0.06115014311735623,0.9508465163074308,0.007227243745572052,0.004811766028149533,0.7935150838103066,0.1493624772313297,0.8068156890142656,0.6750494227585633
resnet18,scratch,gs50,blind,raw,train,1,1,3843,slice_level,0.053864168618266976,0.11007025761124122,0.9748837002205284,0.004177118368270402,0.0019624530874357993,0.7588397440754399,0.1725214676034348,0.8888266876188691,0.8050586129407413
resnet18,scratch,gs50,blind,raw,train,1,1,3843,subject_level,0.053864168618266976,0.11007025761124122,0.9748837552652551,0.004177119981302682,0.001962453256106242,0.7588384475113465,0.17096018735362997,0.8888267391040677,0.805092919649803
resnet18,scratch,gs40,adaptive,gs40,train,1,1,3843,slice_level,0.03590944574551132,0.08534998698933126,0.9672507109692902,0.0060748009051378275,0.005136580482966696,0.8055002480253949,0.17330210772833723,0.8324518040183184,0.6702630258671844
resnet18,scratch,gs40,adaptive,gs40,train,1,1,3843,subject_level,0.03590944574551132,0.08534998698933126,0.9672507641838455,0.006074800936157679,0.005136581143107912,0.8055376923779555,0.17330210772833723,0.8324518499509637,0.6701729710055319
resnet18,scratch,gs40,blind,raw,train,1,1,3843,slice_level,0.032266458495966696,0.0663544106167057,0.9962179024890162,0.000741839812132582,0.0005863226268792124,0.738079097485491,0.13895394223263074,0.9635681872283485,0.9314411705904506
resnet18,scratch,gs40,blind,raw,train,1,1,3843,subject_level,0.032266458495966696,0.0663544106167057,0.9962179657695134,0.0007418382921598555,0.0005863226602467578,0.7380737301699023,0.13895394223263074,0.9635682477790988,0.9314316731771082
resnet18,scratch,gs30,adaptive,gs30,train,1,1,3843,slice_level,0.03747072599531616,0.08066614623991673,0.9717876810193713,0.004702696988212234,0.0030119330783413625,0.814186101585866,0.18058808222742648,0.8668164730289161,0.740167237282916
resnet18,scratch,gs30,adaptive,gs30,train,1,1,3843,subject_level,0.03747072599531616,0.08066614623991673,0.9717877332568013,0.004702695669868542,0.0030119333510070694,0.8140848505506496,0.17824616185271924,0.866816520264395,0.7402509232509455
resnet18,scratch,gs30,blind,raw,train,1,1,3843,slice_level,0.05958886286755139,0.11891751236013531,0.9753350277074824,0.004476149442634513,0.002611052316968285,0.8100666315178865,0.2157168878480354,0.881710502060943,0.7621965489870569
