model,init,train_condition,eval_condition,attacker_type,fold_id,subject_auc,subject_acc,subject_bacc,sensitivity,specificity,msp_correct_mean,msp_wrong_mean,nll_correct_mean,nll_wrong_mean,nllpct_correct_mean,nllpct_wrong_mean,n_train_subjects,n_val_subjects,n_train_slices,n_val_slices,lr,weight_decay,patience,num_epochs_max,epochs_trained,best_val_auc,best_val_loss,seed,timestamp,ckpt_path
densenet121,pretrained,gs20,gs20,adaptive,2,0.8909090909090909,0.8571428571428571,0.8424242424242425,0.8181818181818182,0.8666666666666667,0.7980221755840319,0.6994080230238802,0.24614277815989685,1.3536779241179921,79.80221755840319,30.059197697611978,222,56,12000,7347,5e-05,0.0001,7,50,3,0.8909090909090909,0.5184504009526352,1337,2026-01-17 10:07:18,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs20/fold_2.pt
densenet121,pretrained,gs20,raw,blind,2,0.5515151515151515,0.19642857142857142,0.5,1.0,0.0,0.993728110561273,0.9932874104580001,0.006319050156030025,5.357111424741886,99.37281105612729,0.6712589541999808,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 10:07:30,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs20/fold_2.pt
resnet18,pretrained,gs30,gs30,adaptive,2,0.8686868686868687,0.7857142857142857,0.7292929292929293,0.6363636363636364,0.8222222222222222,0.8484809594526986,0.6461701866921502,0.1764129441319828,1.1188343151106284,84.84809594526989,35.38298133078498,222,56,12000,7347,5e-05,0.0001,7,50,2,0.8686868686868687,0.4960027419287583,1337,2026-01-17 10:17:55,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs30/fold_2.pt
resnet18,pretrained,gs30,raw,blind,2,0.5414141414141413,0.21428571428571427,0.5111111111111111,1.0,0.022222222222222223,0.8065655801752346,0.7954464479434218,0.22499085845546576,1.7737273259908348,80.65655801752348,20.455355205657806,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 10:17:59,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs30/fold_2.pt
densenet121,pretrained,gs30,gs30,adaptive,2,0.8787878787878788,0.8214285714285714,0.8545454545454545,0.9090909090909091,0.8,0.7876417387226837,0.6934529784792705,0.25835032444403966,1.2777581866116154,78.76417387226837,30.654702152072964,222,56,12000,7347,5e-05,0.0001,7,50,2,0.8787878787878788,0.5079877273789768,1337,2026-01-17 10:24:30,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs30/fold_2.pt
densenet121,pretrained,gs30,raw,blind,2,0.5292929292929294,0.5714285714285714,0.4585858585858586,0.2727272727272727,0.6444444444444445,0.6518553749172165,0.604582071675682,0.4364115343976191,0.9454946297823451,65.18553749172165,39.5417928324318,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 10:24:43,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs30/fold_2.pt
resnet18,pretrained,gs40,gs40,adaptive,2,0.8686868686868686,0.8214285714285714,0.7515151515151515,0.6363636363636364,0.8666666666666667,0.841942821682199,0.6701602406386706,0.1853508499569101,1.271591714823541,84.1942821682199,32.98397593613293,222,56,12000,7347,5e-05,0.0001,7,50,6,0.8686868686868686,0.5334724776189903,1337,2026-01-17 10:35:58,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs40/fold_2.pt
resnet18,pretrained,gs40,raw,blind,2,0.3858585858585859,0.8035714285714286,0.5,0.0,1.0,0.6068178737849851,0.6219804922550305,0.5014927794791955,0.9754117707180735,60.681787378498505,37.80195077449695,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 10:36:03,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs40/fold_2.pt
densenet121,pretrained,gs40,gs40,adaptive,2,0.8767676767676768,0.8571428571428571,0.7737373737373737,0.6363636363636364,0.9111111111111111,0.8022434728400087,0.6790668336254913,0.23894842915672662,1.2591077280443754,80.22434728400088,32.09331663745087,222,56,12000,7347,5e-05,0.0001,7,50,4,0.8767676767676768,0.5109095110975462,1337,2026-01-17 10:43:59,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs40/fold_2.pt
densenet121,pretrained,gs40,raw,blind,2,0.3090909090909091,0.8035714285714286,0.5,0.0,1.0,0.999999999214626,0.9999999997479317,7.853738358474657e-10,22.579389735249674,99.99999992146259,2.5206814875546494e-08,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 10:44:11,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs40/fold_2.pt
